point,type,protection,x,y,created_by,created
AA3688,Bolzen,,2683721.783,1247352.685,EN503,1949-09-05
AA3689,Bolzen,,2683696.969,1247320.227,EN503,1949-09-05
AA3691,Bolzen,,2683453.863,1248134.958,EN503,1949-09-05
AA3692,Bolzen,,2683461.475,1248137.143,EN503,1949-09-05
AA3693,Stein,,2683578.216,1247664.991,EN503,1949-09-05
AA3694,Bolzen,,2683570.507,1248132.726,EN503,1949-09-05
AA3695,Bolzen,,2683555.487,1248124.082,EN503,1949-09-05
AA3696,Stein,,2683544.464,1248106.939,EN503,1949-09-05
AA3697,Stein,,2683531.874,1248094.122,EN503,1949-09-05
AA3698,Bolzen,,2683516.172,1248086.984,EN503,1949-09-05
AA3699,Bolzen,,2683492.371,1248065.780,EN503,1949-09-05
AA3700,Bolzen,,2683507.541,1248047.480,EN503,1949-09-05
AA3701,Bolzen,,2683507.433,1248030.808,EN503,1949-09-05
AA3702,Bolzen,,2683507.080,1248002.390,EN503,1949-09-05
AA3703,Bolzen,,2683521.194,1247997.392,EN503,1949-09-05
AA3704,Bolzen,,2683507.016,1247983.693,EN503,1949-09-05
AA3705,Stein,,2683509.939,1247952.544,EN503,1949-09-05
AA3706,Bolzen,,2683524.798,1247935.270,EN503,1949-09-05
AA3707,Bolzen,,2683542.811,1247910.843,EN503,1949-09-05
AA3709,Bolzen,,2683539.953,1247959.274,EN503,1949-09-05
AA3710,Bolzen,,2683551.548,1247964.496,EN503,1949-09-05
AA3711,Bolzen,,2683574.348,1247968.403,EN503,1949-09-05
AA3712,Bolzen,,2683569.946,1247942.676,EN503,1949-09-05
AA3713,Bolzen,,2683594.780,1247949.112,EN503,1949-09-05
AA3714,Bolzen,,2683585.278,1248003.898,EN503,1949-09-05
AA3715,Stein,,2683607.803,1247950.189,EN503,1949-09-05
AA3716,Bolzen,,2683488.593,1247871.322,EN503,1949-09-05
AA3717,Bolzen,,2683498.400,1247870.387,EN503,1949-09-05
AA3718,Bolzen,,2683497.789,1247852.573,EN503,1949-09-05
AA3719,Bolzen,,2683520.605,1248066.529,EN503,1949-09-05
AA3720,Bolzen,,2683507.681,1248061.208,EN503,1949-09-05
AA3721,Bolzen,,2683566.646,1247885.372,EN503,1949-09-05
AA3722,Stein,,2683591.512,1247891.214,EN503,1949-09-05
AA3723,Bolzen,,2683617.323,1247902.737,EN503,1949-09-05
AA3724,Stein,,2683609.353,1247866.551,EN503,1949-09-05
AA3725,Bolzen,,2683620.001,1247840.669,EN503,1949-09-05
AA3726,Bolzen,,2683610.058,1247828.920,EN503,1949-09-05
AA3727,Bolzen,,2683739.561,1247947.307,EN503,1949-09-05
AA3728,Bolzen,,2683767.772,1247958.511,EN503,1949-09-05
AA3729,Bolzen,,2683792.725,1247964.983,EN503,1949-09-05
AA3730,Bolzen,,2683780.087,1247922.333,EN503,1949-09-05
AA3731,Bolzen,,2683792.315,1247915.278,EN503,1949-09-05
AA3732,Bolzen,,2683803.627,1247889.149,EN503,1949-09-05
AA3733,Bolzen,,2683830.988,1247857.155,EN503,1949-09-05
AA3734,Bolzen,,2683801.615,1247849.852,EN503,1949-09-05
AA3735,Bolzen,,2683818.612,1247812.399,EN503,1949-09-05
AA3737,Bolzen,,2683621.980,1247781.833,EN503,1949-09-05
AA3738,Bolzen,,2683626.902,1247805.365,EN503,1949-09-05
AA3739,Bolzen,,2683674.550,1247803.564,EN503,1949-09-05
AA3740,Bolzen,,2683660.093,1247791.994,EN503,1949-09-05
AA3741,Bolzen,,2683654.153,1247765.985,EN503,1949-09-05
